06bfojd5dpttggsvf5qe9g15sloks33p.coffee.	3600	in	nsec3	1 1 0 73 0777A0E7VRM768PG6903C7V8J8RJEDG4 NS DS RRSIG
06bfojd5dpttggsvf5qe9g15sloks33p.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. uFUjwiTfIXVF4WuzP8c9c4zj7wxZ8kV/yPLp46bmcNJNBG9aPS5XYRf/dxjnT5jbPZjdKigNUXVMvKROdg/YE66r1bV6VMZpYGMXExw4n4eucMUJARXeI3+VYpPSBh1Dj1OwmD66dkNWS0649oVd0iv6y6vWNyUQoLM2lOgz5DE=
0711.coffee.	3600	in	ns	ns1.hosting.de.
0711.coffee.	3600	in	ns	ns2.hosting.de.
0711.coffee.	3600	in	ns	ns3.hosting.de.
0777a0e7vrm768pg6903c7v8j8rjedg4.coffee.	3600	in	nsec3	1 1 0 73 07DKP1SDS21N5TC4Q1GRS3G6V45JINPK NS DS RRSIG
0777a0e7vrm768pg6903c7v8j8rjedg4.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. mMclZVWBnucj7Et2SWu2hCHvBQvJ7sIX9tfd5+KFs8gEEdFTXAq2Pso9vhq3my6K80eVyiJZAgd0lF9hz01fUeMhjiPzgvMAjmjY4uDdpvL0jPSbD6UnG36NYrw/BXcBfJtqU03Xedx2xH5ahtqEz7ItctNtMnkq3VyxALgF/1Q=
07dkp1sds21n5tc4q1grs3g6v45jinpk.coffee.	3600	in	nsec3	1 1 0 73 07TP6DLN904ICM2FN3QPBF8K5R1UIC0P NS DS RRSIG
07dkp1sds21n5tc4q1grs3g6v45jinpk.coffee.	3600	in	rrsig	NSEC3 8 2 3600 20260122154525 20260101144525 53556 coffee. xiV/7XhH3iYoPc68QF87ox0eRBEp1cZUVnkYLgAD1vJ6+ke292bzg042jwUz1V+CRZDMAemaA5gBb+6iA9tiTF85xJbsSQ7k3uld4kMaaZvi63XJO8zy2LePdk/5EQgD5MFD08balMTTxWDHCtttpWCMdIQ2HqsqurR3Ys2dW4Q=
07oz.coffee.	3600	in	ns	ns1.cargo.site.
07oz.coffee.	3600	in	ns	ns2.cargo.site.
07tp6dln904icm2fn3qpbf8k5r1uic0p.coffee.	3600	in	nsec3	1 1 0 73 08458IAOAMAS2PD5EI1QQJ1P0BS5ABQA NS DS RRSIG
