123b.investments.	3600	in	ns	nero.ns.cloudflare.com.
125p9pbd7q9319btgone8m5lgo1jldhd.investments.	3600	in	nsec3	1 1 0 73 14H80TS9HADMCO0SS4PHRPC13ECC3JU1 NS DS RRSIG
125p9pbd7q9319btgone8m5lgo1jldhd.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. AQO0gxQ2C6KTTlPJY5WCI2IEv9mr5MhYs0XXmixKDqhEucvmLquzsNu+U4zSCV4CpB5T0GEOYD3HtCQWVApShLsmjYBpP+q86wfkDLavXvGNvVU3b3deCYqAYAuindZQxGUnD5PDbac3il1cXpQbI9hus+MmqW1TrjmFKZo5EzE=
12a.investments.	3600	in	ns	docks13.rzone.de.
12a.investments.	3600	in	ns	shades08.rzone.de.
12elf.investments.	3600	in	ns	dns1.namecheaphosting.com.
12elf.investments.	3600	in	ns	dns2.namecheaphosting.com.
1337.investments.	3600	in	ns	karina.ns.cloudflare.com.
1337.investments.	3600	in	ns	sid.ns.cloudflare.com.
1337mushroom.investments.	3600	in	ns	dns1.registrar-servers.com.
1337mushroom.investments.	3600	in	ns	dns2.registrar-servers.com.
14h80ts9hadmco0ss4phrpc13ecc3ju1.investments.	3600	in	nsec3	1 1 0 73 15PIM0HGGMP3RPL976GNTB9GN8L10BEH NS DS RRSIG
14h80ts9hadmco0ss4phrpc13ecc3ju1.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. HrSUZ27lDwv4C1f9LRFPAeSZiQCc8CX4ol6gMIYb9hB1i4TgC07O3Ygwbrt4l+5QT4uWeOk6PWgKZs4ZWJ/FT76OolYzGwGXtNO6f+7ecTC7l+Sk+7D0a8fNXGgreC+2u7gB3L+NinKbGH69m28y6yDQfaFwb3xmOL1tIR22S84=
15pim0hggmp3rpl976gntb9gn8l10beh.investments.	3600	in	nsec3	1 1 0 73 16MD1TP5NH7Q98JJ8VUFGHHRSPVLH31F NS DS RRSIG
15pim0hggmp3rpl976gntb9gn8l10beh.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. ZfOQD8ud2ym7+eATnCW+A2BWg3n62uzd935JmDGQQwQefcZxqYL70eSIzgi1EVVmgTUgLU5Nmha6BTr7QUh6/9i5bvEClg+WBH5jcntTl9ofNTHQWYBBtU6HmNXzLwGgwQ0lIU5kOWrJSVmZ/dxj2dm3pqS5jLvsvpBnDW1S+W4=
16md1tp5nh7q98jj8vufghhrspvlh31f.investments.	3600	in	nsec3	1 1 0 73 17EGLPE1HRIDCBSRC5ON338733T3JQN9 NS DS RRSIG
16md1tp5nh7q98jj8vufghhrspvlh31f.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. YbGF5k+z5OPejBfmHnFHXpAUosRPRb5oWE+mXKWb+IBxggkq4Z+OVkBVI5IVZybZKlYLF/lQ29lcYsRfWpO0l+cJMBWFmZYHBRCUB+raci0Vt/MM2HCes3c5BcTemPN0EAy5Pk40Bqoan5xsQOP2p8/wonWzoWSmMYfsZoPzeVE=
17eglpe1hridcbsrc5on338733t3jqn9.investments.	3600	in	nsec3	1 1 0 73 18A7S31H3UDNLMML1E592IPJE3DBB5GU NS DS RRSIG
17eglpe1hridcbsrc5on338733t3jqn9.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. FvCcKaViI8FF5cG6gRuZlXZ0ayqMnsLZUEbrwbZ3m6mxu5au3jKkF5SesftgZM39EU095obFu6iaC4vD18WRUtE8CEVh5QGESvP0vVLrbU6Gyp5CX//AGqHcxNHdpSY83K4x2grCNW5KQxdDPAFE5Lf1/FOpwyYm7DmeW0LYlk0=
188bet.investments.	3600	in	ns	pdns95.ultradns.biz.
188bet.investments.	3600	in	ns	pdns95.ultradns.com.
188bet.investments.	3600	in	ns	pdns95.ultradns.net.
188bet.investments.	3600	in	ns	pdns95.ultradns.org.
18a7s31h3udnlmml1e592ipje3dbb5gu.investments.	3600	in	nsec3	1 1 0 73 19M1N487DFKU1J1CTMKD4NRFVEPEUM5H NS DS RRSIG
18a7s31h3udnlmml1e592ipje3dbb5gu.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. YdoUnD2fVTK3H0i0h0SltvdC75Q8w+sD2P4U3ucNZg5LABCQInlEzqNE10LkPqgDse76BThiBaWeYb5CZZv3qr6A/h/WliuDnGlwN7WGnFaRazdYXULozTPawxa/wT+M2U6dA6zR8XHaD9GlKcjAy+rqBP89eKGsWezlD6ngKW8=
1919.investments.	3600	in	ns	ns01.domaincontrol.com.
1919.investments.	3600	in	ns	ns02.domaincontrol.com.
1919ic.investments.	3600	in	ns	ns23.domaincontrol.com.
1919ic.investments.	3600	in	ns	ns24.domaincontrol.com.
19m1n487dfku1j1ctmkd4nrfvepeum5h.investments.	3600	in	nsec3	1 1 0 73 1AKM6DA18QFH66LRP549OTFQMM18T35K NS DS RRSIG
19m1n487dfku1j1ctmkd4nrfvepeum5h.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. PeBG2Gw9LD9VsLdQz+tG7QP5TM32K5vbk9PS/uWX/YaILN8T7kZQi7RYWY4u/KTilxx48YwtthIYCcfAUOVM3spJL+b6Mwc+srZK7ZqeJI4vTl4hZLs/bPQQkwW8G67P4ik55FCT8HDBtbhVkPrVRePzqQm04UrD4mGp5rN+i7I=
1a-mallorca.investments.	3600	in	ns	ns.udag.de.
1a-mallorca.investments.	3600	in	ns	ns.udag.net.
1a-mallorca.investments.	3600	in	ns	ns.udag.org.
1a.investments.	3600	in	ns	ns.udag.de.
1a.investments.	3600	in	ns	ns.udag.net.
1a.investments.	3600	in	ns	ns.udag.org.
1akm6da18qfh66lrp549otfqmm18t35k.investments.	3600	in	nsec3	1 1 0 73 1ENKF90VF950EL10FC3SLI2EBNMOLUL7 NS DS RRSIG
1akm6da18qfh66lrp549otfqmm18t35k.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. nu2bixSr1XfLRMeup6fRW5vPEydanb7Z8Ro79/l5yMqIBg/Fp8uF9ol+C126V08DzPYzH9xRWjm3J0qM6uosZUTKccerewGtDlzsLYBfpmU6QNAsdAZs2rPHr82VOAgXqrEIeAeiusmwS+k71h4Upv7wJAWUiKz7Y1KLLIYlRkc=
1enkf90vf950el10fc3sli2ebnmolul7.investments.	3600	in	nsec3	1 1 0 73 1GNKTM3FE7QT3EEB2OSUVPACF99LN0GL NS DS RRSIG
1enkf90vf950el10fc3sli2ebnmolul7.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. fsv1zhwhl9c+/MiUMsa6yG29mnQ3m+5O1N8CG8sxY/xnYSrm6/DECojMdULgSj+HdWLzaErqi6+wdPWsyXnt7sc7jVyDocpY3h87tUyqEYAUrfPTB4qb6xKK20uDuW/zJgjLLaEUppUmkd58IjTyUFMcuBNp3io/fRT/wTXISQM=
1gnktm3fe7qt3eeb2osuvpacf99ln0gl.investments.	3600	in	nsec3	1 1 0 73 1KI43TBKA4LBFLCAF8I7F7TVMBAF2T16 NS DS RRSIG
1gnktm3fe7qt3eeb2osuvpacf99ln0gl.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. qNOdGod46JJTF2jxvPtnk1xfxbk2tBajkuMQVflNcegr3tWbE+yOAROly45qt9TocgjCKfwdIdGbSHf+NsZTaU9LJjlt2QRYnfCdlYsUnhWoGAzTWd/mKlY8m6yEc7F8p69C+eHNthwedTZ8OCFz/XNsvlFrK4Rh0k3aXE9Yg9s=
1ki43tbka4lbflcaf8i7f7tvmbaf2t16.investments.	3600	in	nsec3	1 1 0 73 1LOLDCDCL2L10C8EOAN8AEURTVTVSGFS NS DS RRSIG
1ki43tbka4lbflcaf8i7f7tvmbaf2t16.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. Alv34C7J0EgblZ/rHbmOYHX5eLkVeXkiM+r0lrWW81e71T+jE7jnoBcruG2N2SX/J1mYR9E7/KVMqwBFAwd3Sd4I2xhBCZ8Bc4Stn1lp81/4FYgQMvEamlcb+DBX26YWdtAa2SlRft+er0AC42LA3K18KaMijqSjbQkTH9lfoJE=
1loldcdcl2l10c8eoan8aeurtvtvsgfs.investments.	3600	in	nsec3	1 1 0 73 1Q8UPDVVFA2Q51MKU07A38JCAOT61THV NS DS RRSIG
1loldcdcl2l10c8eoan8aeurtvtvsgfs.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. dVY7n/CEFEarsjNPmQ9a3dULf40IQDBP5aq5SXG6vI9WIEgGYd5TDEgihz+41NQRhNoWRr5MtALlDyFbCA9aL3NjV2Qm+oaAycBdX6xH3MjPC5yVW3OySAGZuJWJnwIIWUF1RwGIlx0eiVBv2r7hLUF+v6p5eezE/e6kIXjiRkk=
1money.investments.	3600	in	ns	dns1.registrar-servers.com.
1money.investments.	3600	in	ns	dns2.registrar-servers.com.
1moneynetwork.investments.	3600	in	ns	dns1.registrar-servers.com.
1moneynetwork.investments.	3600	in	ns	dns2.registrar-servers.com.
1q8updvvfa2q51mku07a38jcaot61thv.investments.	3600	in	nsec3	1 1 0 73 1QMRCH8HH16D8R4GECUDRFOLDTA7GN4V NS DS RRSIG
1q8updvvfa2q51mku07a38jcaot61thv.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. SnjnYupEhcCujs4Rci5I6POMhmgv01CULBHazZGWb1SkWaqkEAoP5laQfl4/rUPoyaGxNssL0PCTAzzRPItG4dSLumOt+iYqa9c3ULPrT5Wu1Uoi3B7ICwGq5HC/RssgPQ7U2eR6dMqr0yh+UF+ftFqwQVJ/xYNZWQh53P+N1f0=
1qmrch8hh16d8r4gecudrfoldta7gn4v.investments.	3600	in	nsec3	1 1 0 73 1RD0F61CJOSGPA3AM9ME2H4U3MM0IVJ0 NS DS RRSIG
1qmrch8hh16d8r4gecudrfoldta7gn4v.investments.	3600	in	rrsig	NSEC3 8 2 3600 20250922160614 20250901150614 9609 investments. MtNJ3wEdEoxrBubt3oOmxfIkMsAZt9kzYBEBLga8/VdWT09zsShM2FqlC5+pJ/J5R5w0+ux4UxbZGqeNSgp8tWJ6oJbp78I4IFpIJRcpvpG06JVFk/3H9vEINEWePYOD4H26E32u52KULGn3gG8BOyOfkKG85NscThwaj52YVy0=
