13bf145lo1fvt34tji5346fh3gpji2dr.rodeo.	900	in	rrsig	NSEC3 8 2 900 20250921060341 20250907050454 63489 rodeo. ahNT2Q3VhXs9PYlz/JrZOYMRDX05OvFu5VIXODztVKTVhsofA77m1Ubtgeq6YbpckGBfEGRTG8Y3I8gsZ8P++yLI7I9UfWpCJqzUR9fb+UMjjDoAQ8hD/C49yairkRY8vuH91JON40/j73tRlQX7yZRTdNRry+wHzsnS9SrFb2qWL+G0r7YLEFsBcHsVrORUUKJdYqOmQaQGd6t/GrDynw==
14829.rodeo.	3600	in	ns	dane.ns.cloudflare.com.
14829.rodeo.	3600	in	ns	tori.ns.cloudflare.com.
163.rodeo.	3600	in	ns	ns1.catched.com.
163.rodeo.	3600	in	ns	ns2.catched.com.
171qgu39pi8b56uq8gbtt4ogiebf68dh.rodeo.	900	in	nsec3	1 1 0 - 1KEDGDAPQ31NMK6943E8MHL5QLTTIJ5I NS DS RRSIG
171qgu39pi8b56uq8gbtt4ogiebf68dh.rodeo.	900	in	rrsig	NSEC3 8 2 900 20250924114520 20250910111303 63489 rodeo. NAbFI0ZCqDAS0g91xSFTCNARMjJ+vQCok7SO8bF7pFVHQSG6sm5r6gWCmVIc5Uab2Zs1uGA6PfkTbXieEJwMWkV97MBkN02AAUwTWLuPLnXEAH+awu7PATJgX79ocsSKWfL2pBK6nBIOxyN7+VoHcFIiwO+vc97lS9oSm5apyRDGisZBPAdT7AGsD/DTFXTEoQtyT7QXBUWaODcVwo1uWA==
1a.rodeo.	3600	in	ns	curitiba.ns.porkbun.com.
1a.rodeo.	3600	in	ns	fortaleza.ns.porkbun.com.
1a.rodeo.	3600	in	ns	maceio.ns.porkbun.com.
1a.rodeo.	3600	in	ns	salvador.ns.porkbun.com.
1cabura.rodeo.	3600	in	ns	dns1.registrar-servers.com.
1cabura.rodeo.	3600	in	ns	dns2.registrar-servers.com.
1e.rodeo.	3600	in	ns	1-you.njalla.no.
1e.rodeo.	3600	in	ns	2-can.njalla.in.
1e.rodeo.	3600	in	ns	3-get.njalla.fo.
1kedgdapq31nmk6943e8mhl5qlttij5i.rodeo.	900	in	nsec3	1 1 0 - 1LUSIK6TGGBQHU1P93P3G58KKUQ0LJ5J NS DS RRSIG
1kedgdapq31nmk6943e8mhl5qlttij5i.rodeo.	900	in	rrsig	NSEC3 8 2 900 20250924112455 20250910105713 63489 rodeo. NVlHjisyxC+zTaFdgV+QoYPOvbYZHP+bjQC30r1ue1Zj2sWxvEkdC3d4NyaSGMImXJ+cX6tehJRKoC+Dv/Hx9kFKH1NlghLCUrLvAxIjLLXIThXyF+8TlrJO380O8ZNICwYCIg+6ThK1rIkUZHN73oeBTI9PPE3dIEWn2xlJr+uqBbiMS6p3l2vwEVLbaDGnOe7ujPjBXJLPlBWr0d30hQ==
1lusik6tggbqhu1p93p3g58kkuq0lj5j.rodeo.	900	in	nsec3	1 1 0 - 1SGVK0U3RFQ31TT5946E7O9U5VCKSTDK NS DS RRSIG
1lusik6tggbqhu1p93p3g58kkuq0lj5j.rodeo.	900	in	rrsig	NSEC3 8 2 900 20250924112455 20250910105713 63489 rodeo. JgEHlnq2aFo5miovoQFCYKgqeYcqBf8EC9XSSprYw7vZTIVV3OjPtlAawPuvCpCynhY1OyDLX6eDAUtXvNfkJIVJUfbaNQavPmSHAzix9DSGe3m9aAM9og50srZ4MNW+yhl7aj/EMUvUMUnweEEFdPKZusg4escdfnmavW67Y21R9be4uYmLlqhCM1Obu4DnsQFFSXt6OZJ8dP/fMNZdMg==
1sgvk0u3rfq31tt5946e7o9u5vckstdk.rodeo.	900	in	nsec3	1 1 0 - 2B3BF4S4M7UPA75BQ6RETMHN9KN88K3B NS DS RRSIG
1sgvk0u3rfq31tt5946e7o9u5vckstdk.rodeo.	900	in	rrsig	NSEC3 8 2 900 20250922165307 20250908164028 63489 rodeo. DE/G2XTSBCQwBfaWnZRPG89TBYz8qvyoO4j7Dt60l/Q0zoiq7C3NpzjjUTVECItMefZZ/V1p3PZ5NrDvmMcXGI+evOsLseik/0b8pBXuxRlnukhuYB/vCQDaQaTVn1vewxKuuXtfiCeqwv1UH0BGcm62NoF+AX/K8XocQ0U1NME7VeAzLBjpzl8x1ptg9XT+sL1MwCJG5C32fpVPPERdeA==
1st.rodeo.	3600	in	ns	ns21.domaincontrol.com.
1st.rodeo.	3600	in	ns	ns22.domaincontrol.com.
1tamilblasters.rodeo.	3600	in	ns	cass.ns.cloudflare.com.
1tamilblasters.rodeo.	3600	in	ns	elias.ns.cloudflare.com.
1tubeporn.rodeo.	3600	in	ns	ajay.ns.cloudflare.com.
1tubeporn.rodeo.	3600	in	ns	sreeni.ns.cloudflare.com.
1x.rodeo.	3600	in	ns	ns1.101domain.com.
1x.rodeo.	3600	in	ns	ns2.101domain.com.
1xw.rodeo.	3600	in	ns	ns1.101domain.com.
1xw.rodeo.	3600	in	ns	ns2.101domain.com.
23win.rodeo.	3600	in	ns	gina.ns.cloudflare.com.
23win.rodeo.	3600	in	ns	jermaine.ns.cloudflare.com.
24-vulkan.rodeo.	3600	in	ns	gabriel.ns.cloudflare.com.
24-vulkan.rodeo.	3600	in	ns	jocelyn.ns.cloudflare.com.
24vulkan.rodeo.	172800	in	ns	mike.ns.cloudflare.com.
24vulkan.rodeo.	172800	in	ns	treasure.ns.cloudflare.com.
29429.rodeo.	3600	in	ns	dane.ns.cloudflare.com.
29429.rodeo.	3600	in	ns	tori.ns.cloudflare.com.
29668.rodeo.	3600	in	ns	n1.xundns.com.
29668.rodeo.	3600	in	ns	n2.xundns.com.
2b3bf4s4m7upa75bq6retmhn9kn88k3b.rodeo.	900	in	nsec3	1 1 0 - 2BAQ91SJCMM6P2BJNBGDHE9BHQLGMI5C NS DS RRSIG
