0147j63oqpjh48nflcuautstnsu2petd.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. zSi8VNwHtid9A7sKTxQbsyi895+Gh3gMOzr7xiJ8nHM0jkVDI10sSs7MsHA/bfscjHqy8WiveaJfMrPzf3Ijl7NbWZdBeoq/Coqo77T1kOnMmgudB/CCa8JhCeVGkCJsJpf0UNsiTTz6XcnyjjxucWYsSdQrYJdtw6pax5Y6X9I=
0170b3qphuertuq76u2eodeifjuv7v07.group.	3600	in	nsec3	1 1 0 73 018SL680FS6FGOAJBSOG3MIMB9IBTTQU NS DS RRSIG
0170b3qphuertuq76u2eodeifjuv7v07.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. x/a193ezMOzz0sl2Hbygq0zk/QwJ5EsW+4le3v+B9C9MFsHPlKdgS7jHoeFuSLaU6m9ejr+uMM8QcAyIkndaHkait57uLqEkHgFJ8Y87jJXVeL2gaphjFe6mL1sHHZIh06DqkC9cDOHJ8vFGRyRJVZ8GzDTgtCSWtJ8UA62Ltvo=
018.group.	3600	in	ns	dns27.hichina.com.
018.group.	3600	in	ns	dns28.hichina.com.
018sl680fs6fgoajbsog3mimb9ibttqu.group.	3600	in	nsec3	1 1 0 73 01APTQD4DR0A0VM9KHLLDSP0U6CFUQ5L NS DS RRSIG
018sl680fs6fgoajbsog3mimb9ibttqu.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. MBv4tqqs88ZVSumWJrlFUtvGU2UHMxm46eAFPzuaDAAPWgAofDJzxNl2sTF9MY1197je5nYdYiS5V5LeoO0vkz1KlCTRu/8yHEqHmn+cMTQniFmPM5xrrcfgnGWVshUPQ3miIZh7k/hCJi7Tm3b+YdeNJXtDIoNHnM6nxiVm728=
01aptqd4dr0a0vm9khlldsp0u6cfuq5l.group.	3600	in	nsec3	1 1 0 73 01EA62RGAD5BAR85QQQC4TBQQBN2V5LG NS DS RRSIG
01aptqd4dr0a0vm9khlldsp0u6cfuq5l.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. tO7av4bEqoWq69uNbiHC2tvxYC2ATIyboBc94LTS8N0o1pTFs0tRluTXqgLLwxvMXlxEZvdgdC1hmUpZYNRg1on3AVnNhiIy1Av/mfLV2K1k2SSSXZPT6xFrQSCah0pdmQDP2wiPeNcYL2tLp5DENp4Vob892jE6LXs42M6Bw3s=
01design.group.	3600	in	ns	ns11.xincache.com.
01design.group.	3600	in	ns	ns12.xincache.com.
01ea62rgad5bar85qqqc4tbqqbn2v5lg.group.	3600	in	nsec3	1 1 0 73 01GNCHCFSOBLQC5VMCTCVOM3I56JFKRJ NS DS RRSIG
01ea62rgad5bar85qqqc4tbqqbn2v5lg.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. LAFsgBBuFmHS5w4j+BOpNamyzkUMo8RQuBWviffSjH5yUpCZXkqsWABQ4jK95wFvUjvf3z3v8+rXyfVinUtlossPQIwoCabDaDwpcTmHhqiYpX/FJogFcw6b4Di9XNjbnygW4ToW89hTbxdl3v1EU4LSMVvQBL++hhDcnuxUBDw=
01gnchcfsoblqc5vmctcvom3i56jfkrj.group.	3600	in	nsec3	1 1 0 73 01NJK6L14E7QJA9CTMIF8DEN28Q76DQ6 NS DS RRSIG
01gnchcfsoblqc5vmctcvom3i56jfkrj.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. yIce+oBGCW6pj3po6bKndB6o/FmYaE+TWaYbELO2zuQ/ePa0TNkARn+72PHPze5vB3bHa13/RuNi+FEZvgFO4LsPQjOPahzze09RluaxzQQ6iDpamwoBAU6T4huA+93IZLCYfssd9rfRaX0T2RzafzoUUMlOZpi+xbAGl5b04FI=
01njk6l14e7qja9ctmif8den28q76dq6.group.	3600	in	nsec3	1 1 0 73 01PSC71J2CCSD857V2C2Q7MJ0CS9D5GN NS DS RRSIG
01njk6l14e7qja9ctmif8den28q76dq6.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. zpDj/cavTfajXZqR2T9TaBD/OfnM8HkT5023kxXhBBM+5HPDvUnoHa2Ym6X6bCBmSgyx7jtTADXzEZpf4TOVWPRpLTntdln4BeUg5nU79HhBv2DeS+FuQZUB4/LL++kUc4gsg0+bH0yiaTEIKQoA9T8kTU+Hby1Em0wos/saJk8=
01psc71j2ccsd857v2c2q7mj0cs9d5gn.group.	3600	in	nsec3	1 1 0 73 0271NL7FJDCHCT7LO2R3UNEAA4PC8Q8D NS DS RRSIG
01psc71j2ccsd857v2c2q7mj0cs9d5gn.group.	3600	in	rrsig	NSEC3 8 2 3600 20251022154502 20251001144502 47658 group. nkc92CsKDngvLUSyn58uRGaQnpk/+y5gkcZymWKi3sQb19PKUdHKBBZz2Atf05l2g16AdrqPmQ24yrC5uwFVte5n4vAzygvVST2l1qWAibQd1yRx+OP5Dfh5MIC1WdbLCDywa7dwcBhgS+obKgdRD9H8Dnyv3WYgl7jlrScikEc=
020.group.	3600	in	ns	ns7.cnmsn.net.
020.group.	3600	in	ns	ns8.cnmsn.net.
021.group.	3600	in	ns	ns63.domaincontrol.com.
021.group.	3600	in	ns	ns64.domaincontrol.com.
023.group.	3600	in	ns	ns1.afternic.com.
