1000ladestellen.wien.	14400	in	ns	ns1.world4you.at.
1000ladestellen.wien.	14400	in	ns	ns2.world4you.at.
100jahrebildung.wien.	14400	in	ns	ns.second-ns.com.
100jahrebildung.wien.	14400	in	ns	ns1.your-server.de.
100jahrebildung.wien.	14400	in	ns	ns3.second-ns.de.
1010.wien.	14400	in	ns	ns1.netzadresse.at.
1010.wien.	14400	in	ns	ns2.netzadresse.at.
1010.wien.	14400	in	ns	ns3.netzadresse.at.
1010.wien.	14400	in	ns	ns4.netzadresse.at.
1020.wien.	14400	in	ns	ns1.netzadresse.at.
1020.wien.	14400	in	ns	ns2.netzadresse.at.
1020.wien.	14400	in	ns	ns3.netzadresse.at.
1020.wien.	14400	in	ns	ns4.netzadresse.at.
1030.wien.	14400	in	ns	ns1.netzadresse.at.
1030.wien.	14400	in	ns	ns2.netzadresse.at.
1030.wien.	14400	in	ns	ns3.netzadresse.at.
1030.wien.	14400	in	ns	ns4.netzadresse.at.
1040.wien.	14400	in	ns	ns1.netzadresse.at.
1040.wien.	14400	in	ns	ns2.netzadresse.at.
1040.wien.	14400	in	ns	ns3.netzadresse.at.
1040.wien.	14400	in	ns	ns4.netzadresse.at.
1050.wien.	14400	in	ns	ns1.netzadresse.at.
1050.wien.	14400	in	ns	ns2.netzadresse.at.
1050.wien.	14400	in	ns	ns3.netzadresse.at.
1050.wien.	14400	in	ns	ns4.netzadresse.at.
1060.wien.	14400	in	ns	ns1.netzadresse.at.
1060.wien.	14400	in	ns	ns2.netzadresse.at.
1060.wien.	14400	in	ns	ns3.netzadresse.at.
1060.wien.	14400	in	ns	ns4.netzadresse.at.
1070.wien.	14400	in	ns	ns1.netzadresse.at.
1070.wien.	14400	in	ns	ns2.netzadresse.at.
1070.wien.	14400	in	ns	ns3.netzadresse.at.
1070.wien.	14400	in	ns	ns4.netzadresse.at.
1080.wien.	14400	in	ns	ns1.netzadresse.at.
1080.wien.	14400	in	ns	ns2.netzadresse.at.
1080.wien.	14400	in	ns	ns3.netzadresse.at.
1080.wien.	14400	in	ns	ns4.netzadresse.at.
1090.wien.	14400	in	ns	ns1.netzadresse.at.
1090.wien.	14400	in	ns	ns2.netzadresse.at.
1090.wien.	14400	in	ns	ns3.netzadresse.at.
1090.wien.	14400	in	ns	ns4.netzadresse.at.
1100.wien.	14400	in	ns	ns1.netzadresse.at.
1100.wien.	14400	in	ns	ns2.netzadresse.at.
1100.wien.	14400	in	ns	ns3.netzadresse.at.
1100.wien.	14400	in	ns	ns4.netzadresse.at.
1110.wien.	14400	in	ns	ns1.netzadresse.at.
1110.wien.	14400	in	ns	ns2.netzadresse.at.
1110.wien.	14400	in	ns	ns3.netzadresse.at.
1110.wien.	14400	in	ns	ns4.netzadresse.at.
1120.wien.	14400	in	ns	ns1.netzadresse.at.
1120.wien.	14400	in	ns	ns2.netzadresse.at.
1120.wien.	14400	in	ns	ns3.netzadresse.at.
1120.wien.	14400	in	ns	ns4.netzadresse.at.
1130.wien.	14400	in	ns	ns1.netzadresse.at.
1130.wien.	14400	in	ns	ns2.netzadresse.at.
1130.wien.	14400	in	ns	ns3.netzadresse.at.
1130.wien.	14400	in	ns	ns4.netzadresse.at.
1136.wien.	14400	in	ns	ns1.domaintechnik.at.
