4t4tq3v2nqd3ne8uceen12v2d7euv8pj.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. nl9lOChSVqxnUbmRVQapo/f7B52WMqeCCoejPqvb+IUovBg7aaq5sgTDgw5+2YiK23gJGrS9bbAEKGSU5GsI6B5BKeuniOavWcAW2MmP3GV0RNrEoH0IGZCYx3QuNLEv0rLD9ILQpphhp+LAFZarn9PjtIuUc3LjM5+lqghqg1I=
5tqjm3he2if76mcuh329cpd6v7ncikrh.memorial.	3600	in	nsec3	1 1 0 73 78VBI46F9JFF6BDHNLG7VIICOCMMDE7T NS DS RRSIG
5tqjm3he2if76mcuh329cpd6v7ncikrh.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. uWme6Dqpz/E+0sIJb6SOCEt1rQS0ySzli4pHitgJn63d6WA4ZmRbwugwLPc/kLXK3PJUjLha82TK/Mmy1E3QsaB5Z/4FgWnw9O0TR6Z2+rbnR4yC7xrg/Pp/dyttOPGoA+yGUU0cAjowUpfulJXpUmB9tcuNp7JV6gsgXodQSJk=
64.memorial.	3600	in	ns	ns1.dnsowl.com.
64.memorial.	3600	in	ns	ns2.dnsowl.com.
64.memorial.	3600	in	ns	ns3.dnsowl.com.
789club.memorial.	3600	in	ns	ns1.dyna-ns.net.
789club.memorial.	3600	in	ns	ns2.dyna-ns.net.
78vbi46f9jff6bdhnlg7viicocmmde7t.memorial.	3600	in	nsec3	1 1 0 73 9A8I7HBA9B7DNTVMC9B8SSCKVOA6J9V9 NS DS RRSIG
78vbi46f9jff6bdhnlg7viicocmmde7t.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. lXzslf8XMyhF8qnsyvN6u71s94/ANRBvSZ4+NCAKh1NxfIRbz3vHxFbFkyay3if1Ca9PFcTaDpfXeiW5lrcF/QZ29dZLQyVnnttudM5U6A2Qbm/rr8ZcieGUZ42MkUjzfU0VUP9XrjNeURA0CtAw5I+xUgJ+fscTuIAeVzwFRwY=
7m.memorial.	3600	in	ns	deb.ns.cloudflare.com.
7m.memorial.	3600	in	ns	nolan.ns.cloudflare.com.
8964.memorial.	3600	in	ns	jamie.ns.cloudflare.com.
8964.memorial.	3600	in	ns	toby.ns.cloudflare.com.
8xbet.memorial.	3600	in	ns	boyd.ns.cloudflare.com.
8xbet.memorial.	3600	in	ns	tani.ns.cloudflare.com.
9a8i7hba9b7dntvmc9b8ssckvoa6j9v9.memorial.	3600	in	nsec3	1 1 0 73 9EUGNC4IOIEB4L2NR60JHTHEF6JNOQ64 NS DS RRSIG
9a8i7hba9b7dntvmc9b8ssckvoa6j9v9.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. hFq7Yb5PRae0+FaVjqv8VKhnj+o/VP9EuPiX0OQF6ZZnpot/zw/++941rUGCco5gw4EWu2V098Lg2Rq8tbOzXUcJ0tNlU/aGUZBCeXIQeJMuj0HEoeTTcTRTqtVG0dgm/GM7DFE0SvtGw5FM+RwOgm4M0qXcOE+eoUfcYVh3En8=
9eugnc4ioieb4l2nr60jhthef6jnoq64.memorial.	3600	in	nsec3	1 1 0 73 AD8M8BKQNN8O7CU0O68CKC5OUFNQPADC NS DS RRSIG
9eugnc4ioieb4l2nr60jhthef6jnoq64.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. JgbUMFjaLNf3nz6oFoYR3a+1zKPuxVK64K70NtaGE88Fjz8GZWxAy3eIlNtcXM4kXJpNq96S8j+8MVsIEjAT8EpEzUzDwocZpkeWgq1zsUWtajBgv8XanPbqRUJSY58Ux05Uxu+4piKl+P+/0Olbej93SY7YkX6eBkii/CmxgwY=
abc8.memorial.	3600	in	ns	damiete.ns.cloudflare.com.
abc8.memorial.	3600	in	ns	zara.ns.cloudflare.com.
ac.memorial.	3600	in	ns	ns39.domaincontrol.com.
ac.memorial.	3600	in	ns	ns40.domaincontrol.com.
academyfunerals.memorial.	3600	in	ns	ns35.domaincontrol.com.
academyfunerals.memorial.	3600	in	ns	ns36.domaincontrol.com.
actuel.memorial.	3600	in	ns	ns11.domaincontrol.com.
actuel.memorial.	3600	in	ns	ns12.domaincontrol.com.
ad8m8bkqnn8o7cu0o68ckc5oufnqpadc.memorial.	3600	in	nsec3	1 1 0 73 BC17B26GHVS6F9CIET35Q7AKIQMNREVO NS DS RRSIG
ad8m8bkqnn8o7cu0o68ckc5oufnqpadc.memorial.	3600	in	rrsig	NSEC3 8 2 3600 20260122155121 20260101145121 10875 memorial. euYrf2C7GJV7ad2XwqZnTNfj68WUw9KN5UKG4s5BclT3hq0gM3w3jLu0uApBWtmN0vn+VeVZ0wruPdSmiu3YNUJvuDfJ7cHCeZ7tgv3W5EQopiq1slN3C1XU9rqqvUz5imMQIi3k98lE71mYQwwWIYYXdqZYOz6qL+6l4qJD3GU=
ada.memorial.	3600	in	ns	bob.ns.cloudflare.com.
ada.memorial.	3600	in	ns	nataly.ns.cloudflare.com.
admiredlife.memorial.	3600	in	ns	pdns03.domaincontrol.com.
admiredlife.memorial.	3600	in	ns	pdns04.domaincontrol.com.
adolfhitler.memorial.	3600	in	ns	docks09.rzone.de.
adolfhitler.memorial.	3600	in	ns	shades11.rzone.de.
ads.memorial.	3600	in	ns	launch1.spaceship.net.
ads.memorial.	3600	in	ns	launch2.spaceship.net.
affordable.memorial.	3600	in	ns	ns67.domaincontrol.com.
affordable.memorial.	3600	in	ns	ns68.domaincontrol.com.
afterglow.memorial.	3600	in	ns	dns1.registrar-servers.com.
afterglow.memorial.	3600	in	ns	dns2.registrar-servers.com.
agent.memorial.	3600	in	ns	ns1.vercel-dns.com.
agent.memorial.	3600	in	ns	ns2.vercel-dns.com.
agents.memorial.	3600	in	ns	ns1.vercel-dns.com.
agents.memorial.	3600	in	ns	ns2.vercel-dns.com.
ai.memorial.	3600	in	ns	ns1.contabo.net.
ai.memorial.	3600	in	ns	ns2.contabo.net.
aila.memorial.	3600	in	ns	david.ns.cloudflare.com.
aila.memorial.	3600	in	ns	jillian.ns.cloudflare.com.
ajahnchah.memorial.	3600	in	ns	clark.ns.cloudflare.com.
ajahnchah.memorial.	3600	in	ns	connie.ns.cloudflare.com.
alandolan.memorial.	3600	in	ns	ns1.wordpress.com.
alandolan.memorial.	3600	in	ns	ns2.wordpress.com.
alandolan.memorial.	3600	in	ns	ns3.wordpress.com.
alchemystars.memorial.	3600	in	ns	jake.ns.cloudflare.com.
alchemystars.memorial.	3600	in	ns	kim.ns.cloudflare.com.
algo.memorial.	3600	in	ns	ns-cloud-d1.googledomains.com.
algo.memorial.	3600	in	ns	ns-cloud-d2.googledomains.com.
algo.memorial.	3600	in	ns	ns-cloud-d3.googledomains.com.
algo.memorial.	3600	in	ns	ns-cloud-d4.googledomains.com.
algofan.memorial.	3600	in	ds	18097 8 2 C2EA50E0EC3D9115053A6A7FBD57BEEBA903313180217272F400DABD587CB74C
algofan.memorial.	3600	in	ns	ns-cloud-d1.googledomains.com.
algofan.memorial.	3600	in	ns	ns-cloud-d2.googledomains.com.
algofan.memorial.	3600	in	ns	ns-cloud-d3.googledomains.com.
algofan.memorial.	3600	in	ns	ns-cloud-d4.googledomains.com.
algofan.memorial.	3600	in	rrsig	DS 8 2 3600 20260122155121 20260101145121 10875 memorial. FSyqm4ExT5k3uTXO3njN+BVqDVp/XE/SbRpmyAoHywPrEOm0sItBv/3Q73OvZocQtAXOm2GwpdHW6DuSyxuOWGO9tZS486wNnGQgPEyug9EHWsREWYQoeNgnXhycHjaZEW/+9suOxLmDyZac9WE0FpE+bt27PzWEvjI0gPxWAAo=
algorand.memorial.	3600	in	ns	ns-cloud-a1.googledomains.com.
algorand.memorial.	3600	in	ns	ns-cloud-a2.googledomains.com.
algorand.memorial.	3600	in	ns	ns-cloud-a3.googledomains.com.
algorand.memorial.	3600	in	ns	ns-cloud-a4.googledomains.com.
alle.memorial.	3600	in	ns	docks18.rzone.de.
alle.memorial.	3600	in	ns	shades19.rzone.de.
allpetsgotoheaven.memorial.	3600	in	ns	pdns1.registrar-servers.com.
allpetsgotoheaven.memorial.	3600	in	ns	pdns2.registrar-servers.com.
allstates.memorial.	3600	in	ns	ns23.domaincontrol.com.
allstates.memorial.	3600	in	ns	ns24.domaincontrol.com.
ama.memorial.	3600	in	ns	ns1.dns-parking.com.
ama.memorial.	3600	in	ns	ns2.dns-parking.com.
amandasfamily.memorial.	3600	in	ns	ns41.domaincontrol.com.
amandasfamily.memorial.	3600	in	ns	ns42.domaincontrol.com.
amazon.memorial.	3600	in	ns	nsgbr.comlaude.co.uk.
amazon.memorial.	3600	in	ns	nssui.comlaude.ch.
amazon.memorial.	3600	in	ns	nsusa.comlaude.net.
ameliademby.memorial.	3600	in	ns	dns1.namecheaphosting.com.
ameliademby.memorial.	3600	in	ns	dns2.namecheaphosting.com.
americaninsurrection.memorial.	3600	in	ds	27874 8 2 D587E9B5D1E7BE0BD92B3EDF3EBD22058CC5D1784CE79439DA353FB9E4502C67
americaninsurrection.memorial.	3600	in	ns	ns1.dnsowl.com.
americaninsurrection.memorial.	3600	in	ns	ns2.dnsowl.com.
americaninsurrection.memorial.	3600	in	ns	ns3.dnsowl.com.
americaninsurrection.memorial.	3600	in	rrsig	DS 8 2 3600 20260122155121 20260101145121 10875 memorial. GO/OAmhkUZPMSBl1LE1ScmRFfH90NPIoCNY41Aj5S6J1Zz/E6r8tQ42x8xhs+0CWgAHFr838KXva1jtH+tt4fpKvwm9QRLHONqPJRcBcHYf4QKUrtl9CXmXRBOfdqPQZXLfchBFBDc/hjRREsEZ6wwpmxVoXH4JuacBM+0+ldCM=
anetteray.memorial.	3600	in	ns	ns37.domaincontrol.com.
anetteray.memorial.	3600	in	ns	ns38.domaincontrol.com.
angelus.memorial.	3600	in	ns	ns79.worldnic.com.
angelus.memorial.	3600	in	ns	ns80.worldnic.com.
anima.memorial.	3600	in	ns	ns23.domaincontrol.com.
anima.memorial.	3600	in	ns	ns24.domaincontrol.com.
animal.memorial.	3600	in	ns	dns1.name-services.com.
animal.memorial.	3600	in	ns	dns2.name-services.com.
animal.memorial.	3600	in	ns	dns3.name-services.com.
animal.memorial.	3600	in	ns	dns4.name-services.com.
animal.memorial.	3600	in	ns	dns5.name-services.com.
animals.memorial.	3600	in	ns	dns1.name-services.com.
animals.memorial.	3600	in	ns	dns2.name-services.com.
animals.memorial.	3600	in	ns	dns3.name-services.com.
animals.memorial.	3600	in	ns	dns4.name-services.com.
animals.memorial.	3600	in	ns	dns5.name-services.com.
anjos.memorial.	3600	in	ns	ns59.domaincontrol.com.
anjos.memorial.	3600	in	ns	ns60.domaincontrol.com.
anzac.memorial.	3600	in	ns	ns1.partnerconsole.net.
anzac.memorial.	3600	in	ns	ns2.partnerconsole.net.
anzac.memorial.	3600	in	ns	ns3.partnerconsole.net.
ap.memorial.	3600	in	ns	nsn1.mijndomein.nl.
ap.memorial.	3600	in	ns	nsn2.mijndomein.nl.
archangel.memorial.	3600	in	ns	ns1.techietenor.net.
archangel.memorial.	3600	in	ns	ns2.techietenor.net.
archangel.memorial.	3600	in	ns	ns3.techietenor.net.
archivoguillermowhitelow.memorial.	3600	in	ns	docks13.rzone.de.
archivoguillermowhitelow.memorial.	3600	in	ns	shades05.rzone.de.
area.memorial.	3600	in	ns	ns1.afternic.com.
area.memorial.	3600	in	ns	ns2.afternic.com.
aril.memorial.	3600	in	ns	ns65.domaincontrol.com.
aril.memorial.	3600	in	ns	ns66.domaincontrol.com.
arrow.memorial.	3600	in	ns	pdns77.ultradns.biz.
arrow.memorial.	3600	in	ns	pdns77.ultradns.com.
arrow.memorial.	3600	in	ns	pdns77.ultradns.net.
arrow.memorial.	3600	in	ns	pdns77.ultradns.org.
asherlazar.memorial.	3600	in	ns	ns1.nexcess.net.
asherlazar.memorial.	3600	in	ns	ns2.nexcess.net.
asherlazar.memorial.	3600	in	ns	ns3.nexcess.net.
asherlazar.memorial.	3600	in	ns	ns4.nexcess.net.
astles.memorial.	3600	in	ns	arya.ns.cloudflare.com.
astles.memorial.	3600	in	ns	elmo.ns.cloudflare.com.
astu.memorial.	3600	in	ns	ns1.wordpress.com.
astu.memorial.	3600	in	ns	ns2.wordpress.com.
astu.memorial.	3600	in	ns	ns3.wordpress.com.
atelier.memorial.	3600	in	ns	ns1.kylos.pl.
atelier.memorial.	3600	in	ns	ns2.kylos.pl.
atlan.memorial.	3600	in	ns	ns1.e239.ru.
atlan.memorial.	3600	in	ns	ns2.e239.ru.
augmented.memorial.	3600	in	ns	ns-1371.awsdns-43.org.
augmented.memorial.	3600	in	ns	ns-1915.awsdns-47.co.uk.
augmented.memorial.	3600	in	ns	ns-407.awsdns-50.com.
augmented.memorial.	3600	in	ns	ns-690.awsdns-22.net.
augmentedreality.memorial.	3600	in	ns	ns1.uniregistry-dns.com.
augmentedreality.memorial.	3600	in	ns	ns1.uniregistry-dns.net.
augmentedreality.memorial.	3600	in	ns	ns2.uniregistry-dns.com.
augmentedreality.memorial.	3600	in	ns	ns2.uniregistry-dns.net.
aura.memorial.	3600	in	ns	ns1.aura.life.
aura.memorial.	3600	in	ns	ns2.aura.life.
authentichendrix.memorial.	3600	in	ns	ns63.domaincontrol.com.
authentichendrix.memorial.	3600	in	ns	ns64.domaincontrol.com.
avatarai.memorial.	3600	in	ns	ns-cloud-c1.googledomains.com.
avatarai.memorial.	3600	in	ns	ns-cloud-c2.googledomains.com.
