0c644f8eok18b70d67hl34u5pa5p691c.cafe.	3600	in	nsec3	1 1 0 73 0CM5TCVTV0LB3GMCKVHELA36EE5DTR6U NS DS RRSIG
0c644f8eok18b70d67hl34u5pa5p691c.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. lBeMtehVJbL9/aYBlILrfYZQeA0TC1tmUgjDSUqm/yUgsM7doTkQmREEort955+ZXFVWT7lvY5nXPhv3wqLpu9l84v3AyuU9eMtcoxm5vAhRX/Z98iv79hF0iFMufi7s9IfN3aiyTe/f0E9ELhvx0dXJk01SgoULRgtQw7GymNw=
0cica.cafe.	3600	in	ns	ns65.domaincontrol.com.
0cica.cafe.	3600	in	ns	ns66.domaincontrol.com.
0cm5tcvtv0lb3gmckvhela36ee5dtr6u.cafe.	3600	in	nsec3	1 1 0 73 0CNQSR5KCN59GJJ7K66AKB6CAOK7Q2PO NS DS RRSIG
0cm5tcvtv0lb3gmckvhela36ee5dtr6u.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. UYjdKYq3hNxQDgrIpgS6MT8Go02b5irekfzuaPSDXlFVk9QoHAzY7aQ+uoRyZyfCA7u2Caqa2aXdi0nFiWUjKCrBB6uGpcc8fGrKKJCTaV824Y+uP+DLQkOEqDe8CjNnZQFGTfJwIL3QTtqzwvDqdSW+hrp7dlgZOQmxRbBsfPY=
0cnqsr5kcn59gjj7k66akb6caok7q2po.cafe.	3600	in	nsec3	1 1 0 73 0DNJOIJ1QAM84VKD1UMGA44BQ40V2556 NS DS RRSIG
0cnqsr5kcn59gjj7k66akb6caok7q2po.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. mXvL3UiFEeITzPN1jaOxvkVupBtOfg46wrtR/3Z5D+LLpk9kjsMG7NQCBYCGOBlClQAvDc06rIBqAYVBVYxpqlKAU7rdwBP52xr4CyrJxFbRzE6M252ECUv9+4+AjyIDEXDxifiDVyHa5Ccc2T1//9hllYqykT9eqGeOkBJXvr0=
0day.cafe.	3600	in	ns	donna.ns.cloudflare.com.
0day.cafe.	3600	in	ns	norm.ns.cloudflare.com.
0dd.cafe.	3600	in	ds	3577 8 2 534331B95A1BE686C740EA6C68D780E44EF2A2C1A47E79EE8ECA704D5965E32C
0dd.cafe.	3600	in	ns	ns-cloud-d1.googledomains.com.
0dd.cafe.	3600	in	ns	ns-cloud-d2.googledomains.com.
0dd.cafe.	3600	in	ns	ns-cloud-d3.googledomains.com.
0dd.cafe.	3600	in	ns	ns-cloud-d4.googledomains.com.
0dd.cafe.	3600	in	rrsig	DS 8 2 3600 20251022152358 20251001142358 5868 cafe. b/UmoQSsDk3KIo0Grz/RgDNS3WyHuSq595i4jsZ+iR+L53Y1rQHkxVkpSV8U6ITuLrF6e9mcTkbn6Tjm/YqK9lRImyS3bQ+ekHjdYtZJpV01GM+/EcNJvftIXO5Tk3zgw1zHFmicbbwo6mDraPZFw7O3eaE4ou7EnXlvKBPxM/M=
0dnjoij1qam84vkd1umga44bq40v2556.cafe.	3600	in	nsec3	1 1 0 73 0F4VTB7N0SFV98FDH6F2FTDCBR3UE1TM NS DS RRSIG
0dnjoij1qam84vkd1umga44bq40v2556.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. l54VJPIZk2r1BMSpaE3Y6iLY2hgnUd8S9fctKqrHD2YrcPuAsE3zsytaJMrKxycFuBXU/JMpKJ8N3+F9hrHehBrJEUsSMjeBYNpZeav15OO3aSqsFjjqa5QSNE5qmrJ+LhKtmIMcaCXriukqTy0T0D0DkboSKoBjV9RUQNV1zNU=
0f4vtb7n0sfv98fdh6f2ftdcbr3ue1tm.cafe.	3600	in	nsec3	1 1 0 73 0FK9RP244JCKC98PQDN15UDG9O64TE1E NS DS RRSIG
0f4vtb7n0sfv98fdh6f2ftdcbr3ue1tm.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. qBHoMDhw7HOMcSpzyv7oO4ozue42dKbnMqVX6MWSDCBQcBdIr1emqzjjK+o4ozch6PEVBJIfWF8+k14Jz8T7v8Zi5XCDeI9x1yM2cLEmP4Y2vJhQrpvnEbKkMHq5aP+usAcpikgW3x3UCRfetvfrDVZTZOhpWtb1RjKyzyzxVO4=
0fk9rp244jckc98pqdn15udg9o64te1e.cafe.	3600	in	nsec3	1 1 0 73 0G2V8QSNM1IOELBNMQMMHDTPJN8GT01L NS DS RRSIG
0fk9rp244jckc98pqdn15udg9o64te1e.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. GUFxcIQcAJqKNLY3KLAOob1d72vvRm9S4RRVhGaZpyTzdyeHshbNZUkrP+VvTZ1j4UCYS6Vlacp84HGHJ5Z0QoPCSiLfIEE9d3JqRZDhNOACD840GFs6CLSeYUeQ2b1WFmk0FEpMud4Gd/T8oj1YoASDybe8zKjy+6ha9UMhriI=
0g2v8qsnm1ioelbnmqmmhdtpjn8gt01l.cafe.	3600	in	nsec3	1 1 0 73 0HKV9SC31O4H0U2PPFL4AGLVSD04H5A8 NS DS RRSIG
0g2v8qsnm1ioelbnmqmmhdtpjn8gt01l.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. qk4T/UdKeZ6m243VmWB/a+4fqzhMvcMKfsNM4t0Zx78PTbwPX714nPXiR913u9qCTS6xA9+l74xHcopFv5He16bFySPtLK6brFNcCMHhlsGsmP6rdcEBsqOEDmIoF8G2LwwCqXl7E2gtwN2z2t8npq5Zl2jHFz42ZUuibOwUuEw=
0hkv9sc31o4h0u2ppfl4aglvsd04h5a8.cafe.	3600	in	nsec3	1 1 0 73 0HL9GNKSGNJQO0B4PS0N5QNHE90QE8D7 NS DS RRSIG
0hkv9sc31o4h0u2ppfl4aglvsd04h5a8.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. W96KBCphZ73VO/NUFGIFQu/F/4KW/3qfiShma9tufPfv6adzQAxJTxbJGf0S5hojQh6X8mb1WaLP/ViR8ZnpPBcGrrDp6WgnWyWnHzG0KbiEaY8PNb9NcutRTDhktRJ55LMJxFiymyGATsAL3/4yVS5cGhmRjebUh5OS+On7stA=
0hl9gnksgnjqo0b4ps0n5qnhe90qe8d7.cafe.	3600	in	nsec3	1 1 0 73 0HM646I5FE6FOKPBFEHDRQ035HUU12E8 NS DS RRSIG
0hl9gnksgnjqo0b4ps0n5qnhe90qe8d7.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. Z+18MkPXV0WTzS7xK0LBFROXU8IjwPuhyyIL0b8RBru4yzYjGb5o7HXQVEBteCrQze/aY1qwznkpxPBaJzxfcms8BY/CX7+2gt317Wbe/a1tOhFsPrMUmViAv0S1IzDXg0lBa+YQv3xmmj3z4/Oz2qOGqlJ4F3eRShNhaay6Tio=
0hm646i5fe6fokpbfehdrq035huu12e8.cafe.	3600	in	nsec3	1 1 0 73 0HPSNVRPAGM6UD2ARL69VG7U56A2LHKA NS DS RRSIG
0hm646i5fe6fokpbfehdrq035huu12e8.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. cdp2wtRRydLxz54LXhr1B8cWuW6sE2YSUQGAx5jaK0fWJ8bKCkqradRn1GIt2OtBsN559+28jvsvQWMyZoi7XbpXj+p+4Df/ixbZ4znarcgeH0+LuR7G7aXhq05wDArDFZVdjUrapeWtGi2nKrU/9vIsAcFDU86X4oFANxB1HU8=
0hpsnvrpagm6ud2arl69vg7u56a2lhka.cafe.	3600	in	nsec3	1 1 0 73 0IV9HRMKI00NB231Q2S2VC6DNCB63BU3 NS DS RRSIG
0hpsnvrpagm6ud2arl69vg7u56a2lhka.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. qya3obK9dqBX8DcjZZ+wnjQZuS9g1OE9vRMvhGRuVqxWeb0VNw5xA/8b+XcUjoCxnTuPPHIP7FhOlM71hoby1CmSob0fPyEOejudJmf16QdCVSPqc+IzpXjEdwbPzfIw7X0eRJ2pYYyLGWzZnLhnFhKu50lIjmdIx0/EXzfs8VQ=
0iv9hrmki00nb231q2s2vc6dncb63bu3.cafe.	3600	in	nsec3	1 1 0 73 0KFM0FS20UKNOOU55080GEAUPMKD6SAQ NS DS RRSIG
0iv9hrmki00nb231q2s2vc6dncb63bu3.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. RMwV+uC8m4wJyDur/8cJr461QDXK9yY7lGVEt9XUOAHq0PwXpFbREtE72yBwGfAqjhyUSmUeOnez4fe4hfIjTMca9OGvtbzFj9Y2Oli2LXhSXH3UXCWkmer2HDioki4n0wj/vS4NDbXUJ8RL78BoEpw3VYcKFheyk2xu5NqM5Yc=
0kfm0fs20uknoou55080geaupmkd6saq.cafe.	3600	in	nsec3	1 1 0 73 0L19M4NB4M73BT67IV1SQRHU2FTJSJMP NS DS RRSIG
0kfm0fs20uknoou55080geaupmkd6saq.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. oH2Qy2F2QGw7kvx9JjfthwhNEBA8KwbQ9tRvk/XT+8ytCe6yNOICXfnWD+59awEpdtg/CXb0hA0sJt1jkjsgFB+/FrVk5Pa1On56Y3D2dpRoaK81YPe253mOAqbCu28ofXsuPB5zlOa+6Xk09yfruouuxB5f0LVDo8K5H0EEpPc=
0l19m4nb4m73bt67iv1sqrhu2ftjsjmp.cafe.	3600	in	nsec3	1 1 0 73 0L45FFNUJT8JLKTEN3PJVFNFSG7I7OJL NS DS RRSIG
0l19m4nb4m73bt67iv1sqrhu2ftjsjmp.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. SS+A09LDE/2P1jevRMuI7Tyksxy9sSN85hElBxDiFpaNZj313OtM0KFJwngu1sUgXJhT4fkjly6snd8RlfmLTI9WYL6AeqOM+mqKHIfsNhBV+uRTvYV0gBS0WGIDM7khfzlGFheyuQT3EU2M4zwlK2YVdPB8/bitlfoT2SFlUVQ=
0l45ffnujt8jlkten3pjvfnfsg7i7ojl.cafe.	3600	in	nsec3	1 1 0 73 0LFOTJ472R3PP55MC07EC0G57076ENQ4 NS DS RRSIG
0l45ffnujt8jlkten3pjvfnfsg7i7ojl.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. gVCbGXA27JPRb/WkwwoMqUOl2vV4HM8PsFuLxteOt3j+htYlscsJm3dVJZD+5Ud211m/VjLxOzG03Jg/hJcII0XnSb4TTFmoR/Nhu8muA5N2muFRqhkaVszsuHrfctDD2Rre1Mr6IR37ddQUtWKhCl99pE17glEAupJZNRJTvp0=
0lfotj472r3pp55mc07ec0g57076enq4.cafe.	3600	in	nsec3	1 1 0 73 0M8RLN861P7EM7CO52RD0LHF2MD3IR3U NS DS RRSIG
0lfotj472r3pp55mc07ec0g57076enq4.cafe.	3600	in	rrsig	NSEC3 8 2 3600 20251022152358 20251001142358 5868 cafe. aDtedusIKye2bMVNSH9Qeoqo3K0Y1vvgUqqS5WlNt8a0iLs+8x1iD7xfKTHUwISMA7v0vD62jESqE7nEloGwHyLmC3YcMDOBmUR1i5elkmiyvOTASiWf+AUZJ/EpTBbL2tJ2X/OODKH+vIVyot9n07MFu2FUcY3qxY8OiYmj79c=
0m8rln861p7em7co52rd0lhf2md3ir3u.cafe.	3600	in	nsec3	1 1 0 73 0MNUC982P0RBM4HM6NGV4569SG7IH6IT NS DS RRSIG
