70nrcl33t1lkjdqavcm4ijk2rs9jvf78.florist.	3600	in	rrsig	NSEC3 8 2 3600 20250930152632 20250909142632 49239 florist. ZR///baDBe/6pYn95o62fWKoYSgMTpE2rJqgcYEaT6JTpkcxaUPX5neEyaV6RcchlT3uYiICpITFePYcObAXQSA+XEfUSgffa4bp/W3tR/nzX7SZ+suVO05MFpypFhKofBCLgRkuvzFKjaMskRgrFNa/m1SI/SDGmDqDgp+bPjs=
777flowers.florist.	3600	in	ns	dns612-1.nexcess.net.
777flowers.florist.	3600	in	ns	dns612-2.nexcess.net.
789club.florist.	3600	in	ns	ruben.ns.cloudflare.com.
789club.florist.	3600	in	ns	ximena.ns.cloudflare.com.
789win.florist.	3600	in	ns	ns1.dyna-ns.net.
789win.florist.	3600	in	ns	ns2.dyna-ns.net.
78q3dvhegq1r71eubq16q5ihth0g0umf.florist.	3600	in	nsec3	1 1 0 73 7H30107DR4BJFRJHFLHLLDQ3LG7T6N34 NS DS RRSIG
78q3dvhegq1r71eubq16q5ihth0g0umf.florist.	3600	in	rrsig	NSEC3 8 2 3600 20250930152632 20250909142632 49239 florist. imhgikwrdKR+BUeNKADlwdQFi0xUOfKVhfEyrNtPXCwbGvPoVVoyoSXPoGs0+ID80H++oaz/s6RjOiJmovBGUugRDxxVdHUWT74HqJcO+jpvWvra3sp3q0JExdhQvS7NqQ7sXRVHhjCzuz8krbSjh+tOBxmyxBsowrtvmjlJJls=
78win.florist.	3600	in	ns	sofia.ns.cloudflare.com.
78win.florist.	3600	in	ns	sullivan.ns.cloudflare.com.
7day.florist.	3600	in	ns	curitiba.ns.porkbun.com.
7day.florist.	3600	in	ns	fortaleza.ns.porkbun.com.
7day.florist.	3600	in	ns	maceio.ns.porkbun.com.
7day.florist.	3600	in	ns	salvador.ns.porkbun.com.
7h30107dr4bjfrjhflhlldq3lg7t6n34.florist.	3600	in	nsec3	1 1 0 73 8KDU1A3NSHIOHOKN9TG6KF93TCE7MMN4 NS DS RRSIG
