0ucv1havs0sei1c2kbedtv6rb86gtbv5.army.	3600	in	nsec3	1 1 0 73 11988ELM16G9EABBLN9EJ8E4GQ4INO2C NS DS RRSIG
0ucv1havs0sei1c2kbedtv6rb86gtbv5.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. QVNxXrM16GhD6UVONR1Y/RJeLUK1bP+NPlIR0tB2hcHdf7HZ2xzUTVKnSwyrOtIz+pfm22NKymrw8Ap+Wb9DHRz7BD50XdMO8bcSD6idaJMXuZH8xnS0ZYNvXKNN7Qc3QiI78FFE+Z1n6HBXQ3hLjL29PyzvLf052kIgxY5zyS4=
0x.army.	3600	in	ns	dns1.registrar-servers.com.
0x.army.	3600	in	ns	dns2.registrar-servers.com.
100479.army.	3600	in	ns	ns1.dyna-ns.net.
100479.army.	3600	in	ns	ns2.dyna-ns.net.
100760.army.	3600	in	ns	ns1.dyna-ns.net.
100760.army.	3600	in	ns	ns2.dyna-ns.net.
101.army.	3600	in	ns	ns.second-ns.com.
101.army.	3600	in	ns	ns1.your-server.de.
101.army.	3600	in	ns	ns3.second-ns.de.
10174.army.	3600	in	ns	ns1.dyna-ns.net.
10174.army.	3600	in	ns	ns2.dyna-ns.net.
10176.army.	3600	in	ns	ns1.dyna-ns.net.
10176.army.	3600	in	ns	ns2.dyna-ns.net.
101obro.army.	3600	in	ns	dns1.hostiq.ua.
101obro.army.	3600	in	ns	dns2.hostiq.ua.
102.army.	3600	in	ns	ns119.inhostedns.com.
102.army.	3600	in	ns	ns219.inhostedns.net.
102.army.	3600	in	ns	ns319.inhostedns.org.
10236.army.	3600	in	ns	ns1.dyna-ns.net.
10236.army.	3600	in	ns	ns2.dyna-ns.net.
10248.army.	3600	in	ns	ns1.dyna-ns.net.
10248.army.	3600	in	ns	ns2.dyna-ns.net.
10254.army.	3600	in	ns	ns1.dyna-ns.net.
10254.army.	3600	in	ns	ns2.dyna-ns.net.
10374.army.	3600	in	ns	ns1.dyna-ns.net.
10374.army.	3600	in	ns	ns2.dyna-ns.net.
10428.army.	3600	in	ns	ns1.dyna-ns.net.
10428.army.	3600	in	ns	ns2.dyna-ns.net.
10495.army.	3600	in	ns	expire1.gname-dns.com.
10495.army.	3600	in	ns	expire2.gname-dns.com.
10520.army.	3600	in	ns	ns1.dyna-ns.net.
10520.army.	3600	in	ns	ns2.dyna-ns.net.
10585.army.	3600	in	ns	ns1.dyna-ns.net.
10585.army.	3600	in	ns	ns2.dyna-ns.net.
10628.army.	3600	in	ns	ns1.dyna-ns.net.
10628.army.	3600	in	ns	ns2.dyna-ns.net.
10657.army.	3600	in	ns	ns1.dyna-ns.net.
10657.army.	3600	in	ns	ns2.dyna-ns.net.
10683.army.	3600	in	ns	ns1.dyna-ns.net.
10683.army.	3600	in	ns	ns2.dyna-ns.net.
107.army.	3600	in	ns	ns1.dyna-ns.net.
107.army.	3600	in	ns	ns2.dyna-ns.net.
10822.army.	3600	in	ns	ns1.dyna-ns.net.
10822.army.	3600	in	ns	ns2.dyna-ns.net.
10840.army.	3600	in	ns	ns1.dnsip.com.
10840.army.	3600	in	ns	ns2.dnsip.com.
10894.army.	3600	in	ns	ns1.dyna-ns.net.
10894.army.	3600	in	ns	ns2.dyna-ns.net.
10starhd.army.	3600	in	ns	ns1.dyna-ns.net.
10starhd.army.	3600	in	ns	ns2.dyna-ns.net.
11-bravo.army.	3600	in	ns	ns31.domaincontrol.com.
11-bravo.army.	3600	in	ns	ns32.domaincontrol.com.
110ombr.army.	3600	in	ns	ns116.inhostedns.com.
110ombr.army.	3600	in	ns	ns216.inhostedns.net.
110ombr.army.	3600	in	ns	ns316.inhostedns.org.
11187sx-sxq-18.army.	3600	in	ns	ns1.dyna-ns.net.
11187sx-sxq-18.army.	3600	in	ns	ns2.dyna-ns.net.
11277.army.	3600	in	ns	ns1.dyna-ns.net.
11277.army.	3600	in	ns	ns2.dyna-ns.net.
11323.army.	3600	in	ns	ns1.dyna-ns.net.
11323.army.	3600	in	ns	ns2.dyna-ns.net.
11336.army.	3600	in	ns	ns1.dnsip.com.
11336.army.	3600	in	ns	ns2.dnsip.com.
113958.army.	3600	in	ns	ns1.dyna-ns.net.
113958.army.	3600	in	ns	ns2.dyna-ns.net.
11403.army.	3600	in	ns	ns1.dns.com.
11403.army.	3600	in	ns	ns2.dns.com.
115.army.	3600	in	ns	ns1.dyna-ns.net.
115.army.	3600	in	ns	ns2.dyna-ns.net.
11520.army.	3600	in	ns	ns1.dyna-ns.net.
11520.army.	3600	in	ns	ns2.dyna-ns.net.
115ombr.army.	3600	in	ns	dns1.hostiq.ua.
115ombr.army.	3600	in	ns	dns2.hostiq.ua.
116.army.	3600	in	ns	expire1.gname-dns.com.
116.army.	3600	in	ns	expire2.gname-dns.com.
116505.army.	3600	in	ns	ns1.dyna-ns.net.
116505.army.	3600	in	ns	ns2.dyna-ns.net.
117ovmbr.army.	3600	in	ns	ns1.weblium.com.
117ovmbr.army.	3600	in	ns	ns2.weblium.com.
117tro.army.	3600	in	ns	a.run.pm.
117tro.army.	3600	in	ns	b.run.pm.
11817.army.	3600	in	ns	ns1.dnsip.com.
11817.army.	3600	in	ns	ns2.dnsip.com.
11856.army.	3600	in	ns	ns7.alidns.com.
11856.army.	3600	in	ns	ns8.alidns.com.
118767.army.	3600	in	ns	ns1.dyna-ns.net.
118767.army.	3600	in	ns	ns2.dyna-ns.net.
11894.army.	3600	in	ns	ns1.dyna-ns.net.
11894.army.	3600	in	ns	ns2.dyna-ns.net.
118thmpcoabn.army.	3600	in	ns	ns1.domain.com.
118thmpcoabn.army.	3600	in	ns	ns2.domain.com.
119.army.	3600	in	ns	ns39.domaincontrol.com.
119.army.	3600	in	ns	ns40.domaincontrol.com.
11988elm16g9eabbln9ej8e4gq4ino2c.army.	3600	in	nsec3	1 1 0 73 13JKVVPTTE6SQQA8TR2HP5DSG4MLCTPS NS DS RRSIG
11988elm16g9eabbln9ej8e4gq4ino2c.army.	3600	in	rrsig	NSEC3 8 2 3600 20251022152525 20251001142525 60666 army. Tm6K3pDcyR5Y1iiEvE4KjIaBj98bwu4TQyjaDTyxMAmKQsZPL4nZ3KS95hQVjTotm1hFLUSs//+5LzpDNvtaXloOVHDVIAbc6YOf8DswVD31EPBRFzP1rIdnXoPwDdeVAdwclUvZ9/0WI67fwKPjowbkI2WmgxI4uFa+BXMHaF8=
11b.army.	3600	in	ns	ns55.domaincontrol.com.
11b.army.	3600	in	ns	ns56.domaincontrol.com.
11bet.army.	3600	in	ns	curitiba.ns.porkbun.com.
11bet.army.	3600	in	ns	fortaleza.ns.porkbun.com.
11bet.army.	3600	in	ns	maceio.ns.porkbun.com.
11bet.army.	3600	in	ns	salvador.ns.porkbun.com.
11bravo.army.	3600	in	ns	ns65.domaincontrol.com.
11bravo.army.	3600	in	ns	ns66.domaincontrol.com.
120728.army.	3600	in	ns	ns1.dyna-ns.net.
120728.army.	3600	in	ns	ns2.dyna-ns.net.
12096.army.	3600	in	ns	ns1.dyna-ns.net.
12096.army.	3600	in	ns	ns2.dyna-ns.net.
120orp.army.	3600	in	ns	ns115.inhostedns.com.
120orp.army.	3600	in	ns	ns215.inhostedns.net.
120orp.army.	3600	in	ns	ns315.inhostedns.org.
12120.army.	3600	in	ns	dns17.parkpage.foundationapi.com.
12120.army.	3600	in	ns	dns18.parkpage.foundationapi.com.
12145.army.	3600	in	ns	n1.xundns.com.
12145.army.	3600	in	ns	n2.xundns.com.
12162.army.	3600	in	ns	n1.xundns.com.
12162.army.	3600	in	ns	n2.xundns.com.
12165.army.	3600	in	ns	ns1.dyna-ns.net.
12165.army.	3600	in	ns	ns2.dyna-ns.net.
12175.army.	3600	in	ns	ns1.dyna-ns.net.
12175.army.	3600	in	ns	ns2.dyna-ns.net.
12224.army.	3600	in	ns	ns1.dyna-ns.net.
12224.army.	3600	in	ns	ns2.dyna-ns.net.
12253.army.	3600	in	ns	ns1.dyna-ns.net.
12253.army.	3600	in	ns	ns2.dyna-ns.net.
122769.army.	3600	in	ns	ns1.dyna-ns.net.
122769.army.	3600	in	ns	ns2.dyna-ns.net.
123.army.	3600	in	ds	65019 13 2 7F3EB6FE4CC1672A386E6F1706320C4261A3D3B0DEBB8934EE6A5257BBAE6F72
123.army.	3600	in	ns	launch1.spaceship.net.
123.army.	3600	in	ns	launch2.spaceship.net.
123.army.	3600	in	rrsig	DS 8 2 3600 20251022152525 20251001142525 60666 army. Wx3wVfETXRB0qk1D1VOw4HbaW5XPW0+jOmhG3W26nnn6ZgXI7RTz1kpXXDX/CcJK5gqq0JFUrHdpYRmkB9hYvAxqVMdQvq2TkiRXUIOjuPTsENvPp2ET+JUyYGcMi9t0Fx+FIvBhxX+YNfkRMAJWkdPDGf99GeD0eZt7UUZZf+I=
12300.army.	3600	in	ns	ns1.dnsip.com.
12300.army.	3600	in	ns	ns2.dnsip.com.
12304.army.	3600	in	ns	n1.xundns.com.
12304.army.	3600	in	ns	n2.xundns.com.
12327.army.	3600	in	ns	n1.xundns.com.
12327.army.	3600	in	ns	n2.xundns.com.
123657.army.	3600	in	ns	curitiba.ns.porkbun.com.
123657.army.	3600	in	ns	fortaleza.ns.porkbun.com.
123657.army.	3600	in	ns	maceio.ns.porkbun.com.
123657.army.	3600	in	ns	salvador.ns.porkbun.com.
12366.army.	3600	in	ns	dns5.parkpage.foundationapi.com.
12366.army.	3600	in	ns	dns6.parkpage.foundationapi.com.
12376.army.	3600	in	ns	expire1.gname-dns.com.
12376.army.	3600	in	ns	expire2.gname-dns.com.
123795.army.	3600	in	ns	curitiba.ns.porkbun.com.
123795.army.	3600	in	ns	fortaleza.ns.porkbun.com.
123795.army.	3600	in	ns	maceio.ns.porkbun.com.
123795.army.	3600	in	ns	salvador.ns.porkbun.com.
12390.army.	3600	in	ns	ns1.dyna-ns.net.
